Company,URL,HN_URL
FluidCAD – Parametric CAD with JavaScript,https://fluidcad.io/,https://news.ycombinator.com/item?id=47721997
Eve – Managed OpenClaw for work,https://eve.new/login,https://news.ycombinator.com/item?id=47721255
A WYSIWYG word processor in Python,https://codeberg.org/chrisecker/miniword,https://news.ycombinator.com/item?id=47722011
Marimo pair – Reactive Python notebooks as environments for agents,https://github.com/marimo-team/marimo-pair,https://news.ycombinator.com/item?id=47678844
Keeper – embedded secret store for Go (help me break it),https://github.com/agberohq/keeper,https://news.ycombinator.com/item?id=47715339
I built a Cargo-like build tool for C/C++,https://github.com/randerson112/craft,https://news.ycombinator.com/item?id=47705413
"CSS Studio. Design by hand, code by agent",https://cssstudio.ai,https://news.ycombinator.com/item?id=47702196
Lmscan – Detect AI text and fingerprint which LLM wrote it (zero deps),https://github.com/stef41/lmscan,https://news.ycombinator.com/item?id=47727017
Druids – Build your own software factory,https://github.com/fulcrumresearch/druids,https://news.ycombinator.com/item?id=47695666
"Unlegacy – document everything, from COBOL to AI generated code",https://www.unlegacy.ai/,https://news.ycombinator.com/item?id=47720860
"Moon simulator game, ray-casting",https://mooncraft2000.com,https://news.ycombinator.com/item?id=47663743
Do All the Things,https://www.doallthethings.app/,https://news.ycombinator.com/item?id=47716617
Figma for Coding Agents,https://getdesign.md,https://news.ycombinator.com/item?id=47719485
